freq_uHz,freq_err,snr,l,confirmed_all_teams,note
329.16,0.24,5.4,0,0,
353.62,0.20,5.4,0,1,
378.34,0.11,13.1,0,1,
402.43,0.07,5.5,0,1,
427.32,0.12,7.5,0,1,
476.86,0.54,3.6,0,0,
317.38,0.19,4.1,1,1,
323.00,0.20,3.4,1,0,
332.98,0.30,3.2,1,0,
340.67,0.09,5.6,1,1,
345.26,0.66,3.2,1,0,
365.40,0.07,8.9,1,1,
370.09,0.15,3.5,1,0,
390.50,0.09,6.1,1,1,
397.89,0.20,3.8,1,0,
417.30,0.11,5.1,1,1,
440.20,0.10,4.7,1,1,
326.55,0.25,4.0,2,0,
351.32,0.15,7.2,2,1,
376.03,0.19,5.0,2,1,
400.56,0.08,9.4,2,1,
423.71,0.40,3.4,2,0,
425.80,0.32,3.2,2,1,
448.65,0.40,3.4,2,0,
449.98,0.50,3.1,2,0,
302.32,,2.5,,0,marginal 2<=SNR<=3
387.12,,2.5,,0,marginal 2<=SNR<=3
407.41,,2.5,,0,marginal 2<=SNR<=3
